0.000000,0.261799,0.000000
0.040004,0.261076,0.000046
0.080008,0.258912,0.000183
0.120012,0.255317,0.000411
0.160016,0.250311,0.000726
0.200020,0.243922,0.001124
0.240024,0.236184,0.001603
0.280028,0.227140,0.002155
0.320032,0.216839,0.002776
0.360036,0.205336,0.003457
0.400040,0.192696,0.004192
0.440044,0.178988,0.004971
0.480048,0.164287,0.005785
0.520052,0.148674,0.006626
0.560056,0.132237,0.007482
0.600060,0.115065,0.008343
0.640064,0.097255,0.009198
0.680068,0.078906,0.010037
0.720072,0.060121,0.010847
0.760076,0.041003,0.011618
0.800080,0.021661,0.012339
0.840084,0.002202,0.012998
0.880088,-0.017265,0.013586
0.920092,-0.036630,0.014092
0.960096,-0.055786,0.014506
1.000100,-0.074625,0.014819
1.040104,-0.093043,0.015023
1.080108,-0.110936,0.015110
1.120112,-0.128205,0.015073
1.160116,-0.144755,0.014906
1.200120,-0.160494,0.014605
1.240124,-0.175335,0.014166
1.280128,-0.189196,0.013586
1.320132,-0.202002,0.012863
1.360136,-0.213683,0.011996
1.400140,-0.224175,0.010988
1.440144,-0.233421,0.009839
1.480148,-0.241372,0.008553
1.520152,-0.247984,0.007134
1.560156,-0.253223,0.005588
1.600160,-0.257060,0.003922
1.640164,-0.259476,0.002144
1.680168,-0.260457,0.000262
1.720172,-0.260000,-0.001712
1.760176,-0.258108,-0.003768
1.800180,-0.254790,-0.005894
1.840184,-0.250068,-0.008077
1.880188,-0.243965,-0.010302
1.920192,-0.236517,-0.012556
1.960196,-0.227764,-0.014822
2.000200,-0.217756,-0.017086
2.040204,-0.206546,-0.019332
2.080208,-0.194198,-0.021542
2.120212,-0.180780,-0.023701
2.160216,-0.166365,-0.025791
2.200220,-0.151035,-0.027795
2.240224,-0.134874,-0.029698
2.280228,-0.117973,-0.031483
2.320232,-0.100425,-0.033134
2.360236,-0.082329,-0.034636
2.400240,-0.063786,-0.035973
2.440244,-0.044900,-0.037132
2.480248,-0.025776,-0.038100
2.520252,-0.006522,-0.038864
2.560256,0.012755,-0.039413
2.600260,0.031947,-0.039737
2.640264,0.050946,-0.039829
2.680268,0.069647,-0.039680
2.720272,0.087944,-0.039284
2.760276,0.105737,-0.038638
2.800280,0.122927,-0.037739
2.840284,0.139419,-0.036585
2.880288,0.155121,-0.035177
2.920292,0.169948,-0.033519
2.960296,0.183818,-0.031613
3.000300,0.196655,-0.029465
3.040304,0.208391,-0.027084
3.080308,0.218962,-0.024477
3.120312,0.228310,-0.021657
3.160316,0.236387,-0.018635
3.200320,0.243148,-0.015427
3.240324,0.248560,-0.012046
3.280328,0.252592,-0.008511
3.320332,0.255226,-0.004839
3.360336,0.256448,-0.001051
3.400340,0.256252,0.002834
3.440344,0.254642,0.006792
3.480348,0.251626,0.010802
3.520352,0.247224,0.014841
3.560356,0.241460,0.018883
3.600360,0.234367,0.022905
3.640364,0.225985,0.026881
3.680368,0.216361,0.030787
3.720372,0.205548,0.034597
3.760376,0.193608,0.038287
3.800380,0.180607,0.041831
3.840384,0.166617,0.045205
3.880388,0.151716,0.048385
3.920392,0.135989,0.051350
3.960396,0.119522,0.054075
4.000400,0.102409,0.056542
4.040404,0.084745,0.058728
