sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
12253;SDS011;6189;52.527;13.390;2018-04-11T00:01:58;25.87;;;19.37;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:04:24;25.63;;;20.53;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:06:55;26.30;;;22.00;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:09:23;24.60;;;20.30;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:11:51;25.17;;;20.23;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:14:17;27.10;;;21.00;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:16:44;26.37;;;21.00;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:19:15;25.30;;;20.63;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:21:42;25.57;;;21.07;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:24:09;24.63;;;20.83;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:26:37;26.97;;;21.53;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:29:06;27.10;;;20.97;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:31:33;25.57;;;22.33;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:34:00;22.43;;;19.80;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:36:27;28.60;;;22.43;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:38:53;27.77;;;21.60;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:41:21;30.33;;;22.80;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:43:47;29.33;;;24.07;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:46:15;29.37;;;23.47;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:48:41;27.73;;;22.33;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:51:08;28.20;;;22.10;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:53:37;31.13;;;22.43;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:56:05;27.00;;;21.40;;
12253;SDS011;6189;52.527;13.390;2018-04-11T00:58:32;28.23;;;22.33;;
12253;SDS011;6189;52.527;13.390;2018-04-11T01:00:59;28.97;;;24.87;;
